id,number,name,surname,patronymic,date_of_birth,nationality,authority,date_of_issue,date_of_expiry,tin,place_of_birth
208,005082531,Oksana,Tkachuk,Dmytrivna,2002-06-01,ukrainian,885,2021-12-14,2026-01-03,3629614867,Mariupol
209,006853946,Halyna,Ovcharenko,Dmytrivna,2005-09-19,ukrainian,77,2023-01-04,2027-07-22,3115128960,Melitopol
210,004997483,Natalia,Moroz,Olehivna,1998-09-20,ukrainian,1810,2023-01-07,2027-02-16,3391004312,Lviv
211,005711187,Tania,Kozak,Dmytrivna,1999-04-22,ukrainian,1808,2021-10-12,2027-03-10,4953489641,Odesa
212,006351255,Zinovii,Mazur,Andriyovych,2001-04-16,ukrainian,8,2022-06-30,2026-08-28,4421815047,Evpatoria
213,004275254,Liliia,Bondarenko,Yaroslavivna,1998-04-01,ukrainian,762,2021-08-17,2025-10-31,3922532497,Ternopil
214,005443679,Iryna,Kovalchuk,Artemivna,2003-02-03,ukrainian,10,2022-10-09,2026-05-09,4058418062,Dnipro
215,003201208,Anna,Ovcharenko,Ostapivna,1999-01-09,ukrainian,962,2022-01-24,2025-06-30,4191968718,Cherkasy
216,006280304,Mykola,Babenko,Vadymivna,2003-08-15,ukrainian,1627,2023-06-13,2025-02-09,4166052820,Berdiansk
217,005282201,Fedir,Tkachenko,Volodymyrovych,2005-03-17,ukrainian,1938,2022-11-25,2026-01-03,3550591748,Ivano-Frankivsk
218,004357647,Liudmyla,Ivanchuk,Dmytrivna,2002-10-11,ukrainian,1828,2023-02-01,2027-06-09,3386961914,Kropyvnytskyi
219,003518428,Taras,Shevchuk,Mykolaiovych,1998-07-19,ukrainian,432,2022-07-04,2027-09-11,3025175652,Chernihiv
220,006574535,Petro,Yakovenko,Serhiyovych,2003-01-02,ukrainian,232,2022-03-10,2026-03-01,3445107279,Khmelnytskyi
221,004206844,Orest,Yakovenko,Vitaliyovych,2003-05-12,ukrainian,307,2021-07-10,2027-11-12,4915008317,Stryi
222,004658307,Andriana,Kovalchuk,Yaroslavivna,2002-07-14,ukrainian,1186,2022-10-25,2025-10-06,3177040463,Kolomyia
223,006971440,Volodymyr,Marchenko,Yaroslavovych,2005-12-10,ukrainian,517,2023-08-02,2027-05-29,4750666344,Evpatoria
224,004727862,Ruslan,Holub,Anatoliyovych,2000-11-20,ukrainian,528,2022-01-03,2027-07-23,3524521575,Zaporizhzhia
225,005349016,Ivan,Lysenko,Volodymyrovych,2000-10-30,ukrainian,1005,2022-01-28,2025-02-17,3369075768,Sumy
226,003375034,Yurii,Moroz,Serhiyovych,2007-08-14,ukrainian,1492,2021-03-26,2027-05-09,3773823935,Dnipro
227,003345368,Oksana,Bozhko,Oksanivna,2004-10-28,ukrainian,1012,2022-02-06,2027-04-18,4756116329,Kuznetsovsk
228,003814012,Viktor,Kucher,Dmytrovych,2005-01-27,ukrainian,398,2022-10-06,2025-06-03,3237562684,Poltava
229,005020377,Kateryna,Yermolenko,Denysivna,2007-12-15,ukrainian,420,2021-09-15,2025-12-22,3004382588,Chernihiv
230,006384816,Ruslan,Bondarenko,Anatoliyovych,2007-10-04,ukrainian,1601,2022-01-24,2027-12-06,4879433840,Ivano-Frankove
231,003541272,Oksana,Kucherenko,Bohdanivna,2005-12-08,ukrainian,1393,2021-12-11,2025-02-26,4481706090,Makiivka
232,003105502,Vira,Oliinyk,Pavlivna,2004-12-14,ukrainian,596,2022-03-26,2027-11-27,4135503272,Kharkiv
233,004139315,Iryna,Dmytruk,Olehivna,2006-04-05,ukrainian,793,2023-01-29,2027-09-24,4167972874,Melitopol
234,005148238,Oksana,Moroz,Yaroslavivna,2000-07-12,ukrainian,1010,2021-06-02,2027-02-26,3674977094,Vinnytsia
235,004644163,Khrystyna,Shulga,Oleksandrivna,2003-07-15,ukrainian,1367,2021-04-29,2027-12-29,3865519945,Sumy
236,004388317,Ludmyla,Vlasenko,Mykolaivna,1998-08-29,ukrainian,1882,2021-07-11,2027-03-05,4020015207,Zhytomyr
237,006276212,Tetiana,Bozhko,Mykolaivna,2007-05-09,ukrainian,1727,2021-10-27,2027-02-18,4203085500,Mariupol
238,005262240,Orest,Mazur,Andriyovych,2001-09-21,ukrainian,1123,2021-07-22,2025-02-11,3335698879,Lutsk
239,006625849,Oleksandr,Vlasenko,Serhiyovych,2002-12-12,ukrainian,861,2022-06-11,2027-05-27,3030040134,Kremenchuk
240,004671719,Yurii,Dmytruk,Ivanovych,2005-09-26,ukrainian,1895,2021-03-16,2027-10-11,3355001525,Cherkasy
241,006286868,Petro,Bondarenko,Pavlovych,1999-06-27,ukrainian,1329,2022-03-15,2027-06-30,3271295324,Mariupol
242,003080419,Mykhailo,Kucherenko,Yuriyovych,2003-06-07,ukrainian,5,2021-12-28,2026-04-19,4356985636,Odesa
243,006680704,Iryna,Klymenko,Olehivna,2002-02-03,ukrainian,35,2021-07-27,2027-02-07,3409472717,Zhytomyr
244,004772759,Volodymyr,Bozhko,Serhiyovych,2005-05-14,ukrainian,842,2021-04-01,2025-08-02,4883458621,Kuznetsovsk
245,005240947,Khrystyna,Kovalenko,Olehivna,2007-04-04,ukrainian,787,2022-12-12,2026-06-04,3442136020,Odesa
246,003993184,Svitlana,Yermolenko,Ostapivna,2000-03-08,ukrainian,1862,2023-05-22,2027-04-28,3720763575,Uzhhorod
247,005851050,Serhii,Moroz,Denysovych,2005-11-21,ukrainian,536,2021-04-03,2026-11-10,3546673673,Myrnohrad
248,005251881,Kyrylo,Holub,Oleksandrovych,2004-12-07,ukrainian,1120,2021-05-22,2025-12-25,4934870463,Vinnytsia
249,006088484,Petro,Vlasenko,Vadymovych,2002-06-26,ukrainian,1509,2021-04-11,2025-12-09,3473010214,Mykolaiv
250,004788017,Andriana,Marchenko,Serhiyivna,1998-10-06,ukrainian,1728,2022-03-16,2027-08-14,3088235565,Sevastopol
251,005693326,Roman,Ovcharenko,Tarasovych,2005-11-27,ukrainian,1203,2022-07-29,2025-04-21,3737986981,Rivne
252,005909421,Bohdan,Kravchenko,Serhiyovych,2006-01-21,ukrainian,1614,2023-05-12,2027-07-21,4008288962,Mariupol
253,003362618,Andriana,Romanenko,Serhiyivna,2007-08-14,ukrainian,1814,2022-01-27,2026-03-30,3582032867,Chernihiv
254,004915218,Khrystyna,Marchenko,Ivanivna,2002-03-16,ukrainian,1237,2022-10-04,2025-05-09,3304003807,Kryvyi Rih
255,005572213,Fedir,Kravchenko,Anatoliyovych,1999-06-04,ukrainian,1149,2021-07-22,2025-03-31,3461643457,Melitopol
256,003111509,Iryna,Kozak,Oksanivna,1999-01-11,ukrainian,171,2021-03-31,2026-05-31,3285651458,Ivano-Frankivsk
257,006067457,Volodymyr,Kravchenko,Olehovych,2000-08-27,ukrainian,1937,2022-10-10,2027-02-24,4048398985,Myrnohrad
258,006549826,Svitlana,Shulga,Dmytrivna,2006-02-10,ukrainian,786,2021-05-27,2026-08-27,4962427090,Dnipro
259,004619947,Anastasiia,Yakovenko,Artemivna,2001-12-15,ukrainian,1569,2021-11-07,2026-10-09,4675389617,Kremenchuk
260,004508918,Kyrylo,Romanenko,Vadymovych,2000-12-25,ukrainian,1924,2021-12-22,2025-10-28,4082945620,Lviv
261,005659939,Olena,Tkachenko,Yaroslavivna,2004-09-16,ukrainian,377,2021-07-08,2025-11-20,3673253781,Mariupol
262,004849159,Bohdan,Sydorenko,Denysovych,2002-08-13,ukrainian,832,2021-12-15,2025-12-16,3863528359,Kropyvnytskyi
263,004595877,Nina,Mazur,Bohdanivna,2006-11-29,ukrainian,1753,2022-04-24,2025-04-05,4367890640,Kharkiv
264,004150732,Yulia,Kravchenko,Dmytrivna,2001-08-18,ukrainian,1264,2023-05-13,2025-01-17,3170702170,Berdyansk
265,006816013,Orest,Ivanchuk,Petrovych,2004-12-21,ukrainian,596,2023-03-13,2027-04-28,4473279149,Luhansk
266,004344458,Taras,Sydorenko,Volodymyrovych,2007-07-30,ukrainian,1956,2021-10-27,2027-01-11,4766122851,Poltava
267,006747328,Yelyzaveta,Ovcharenko,Dmytrivna,2004-12-04,ukrainian,1999,2021-09-20,2025-07-01,3111682941,Lisichansk
268,004528912,Yaroslav,Babenko,Vadymovych,2005-07-30,ukrainian,650,2021-01-12,2025-07-21,4145022931,Kharkiv
269,005328848,Larysa,Kravchenko,Denysivna,2003-02-04,ukrainian,1009,2021-12-25,2027-12-28,3772625615,Kryvyi Rih
270,005828669,Natalia,Tkachenko,Volodymyrivna,2000-06-18,ukrainian,1844,2022-09-21,2026-02-22,4394983212,Kropyvnytskyi
271,005861663,Liliia,Shevchenko,Dmytrivna,2001-10-28,ukrainian,145,2023-11-28,2026-11-01,3985727087,Khmelnytskyi
272,004846158,Yelyzaveta,Melnichenko,Oleksandrivna,2005-10-27,ukrainian,1051,2022-10-07,2026-12-11,4838976002,Ivano-Frankivsk
273,006759539,Kyrylo,Bozhko,Mykolaiovych,2001-04-06,ukrainian,1732,2023-05-02,2026-01-24,4497413725,Berdyansk
274,006604168,Andriana,Bondarenko,Vadymivna,2000-08-08,ukrainian,950,2021-10-30,2026-10-18,4331486051,Makiivka
275,003817072,Andriana,Boiko,Denysivna,2005-11-17,ukrainian,1189,2021-05-15,2026-11-18,3696213878,Myrnohrad
276,004795185,Yevhen,Yakovenko,Vitaliyovych,2001-12-14,ukrainian,1165,2023-08-25,2025-07-09,4004584132,Mykolaiv
277,005251235,Zoriana,Bondarenko,Pavlivna,2006-10-26,ukrainian,1568,2023-07-28,2027-01-21,4178386944,Kyiv
278,005322388,Iryna,Shulga,Pavlivna,2004-08-24,ukrainian,899,2021-12-07,2027-02-15,4183312060,Kremenchuk
279,004146026,Fedir,Tkachuk,Oleksiyovych,2002-01-19,ukrainian,9,2022-12-02,2025-06-08,3630756138,Lviv
280,006438419,Ihor,Pavlenko,Oleksiyovych,2006-11-09,ukrainian,1805,2022-09-19,2027-03-12,4251469005,Simferopol
281,005780556,Anastasiia,Oliinyk,Yaroslavivna,2006-04-12,ukrainian,1695,2021-01-19,2027-03-09,3868897392,Kharkiv
282,004279605,Solomiia,Shevchenko,Denysivna,2003-10-31,ukrainian,1409,2021-11-15,2027-06-16,4072501174,Kolomyia
283,004101564,Anastasiia,Kozak,Ostapivna,1999-04-05,ukrainian,1766,2021-04-10,2025-09-24,4038836001,Sevastopol
284,006202410,Orest,Babenko,Serhiyovych,2007-03-03,ukrainian,1361,2022-09-05,2027-04-04,4605705007,Sumy
285,006635376,Liudmyla,Yermak,Bohdanivna,1999-05-08,ukrainian,1428,2021-10-07,2026-09-24,4410996111,Cherkasy
286,006827977,Petro,Boiko,Tarasovych,1999-01-19,ukrainian,1112,2023-12-06,2025-03-08,3779699886,Evpatoria
287,006789541,Ostap,Marchenko,Yuriyovych,2007-06-01,ukrainian,542,2021-01-01,2025-11-08,3823574448,Yalta
288,003544166,Kateryna,Pavlenko,Oleksandrivna,2006-07-11,ukrainian,1185,2022-11-25,2026-02-24,3599962746,Makiivka
289,003489851,Nina,Ivanchuk,Serhiyivna,2004-01-26,ukrainian,785,2023-01-30,2025-01-05,3037699514,Berdiansk
290,003519907,Anastasiia,Rudenko,Volodymyrivna,2006-10-08,ukrainian,1923,2021-12-28,2026-11-03,4153794193,Vinnytsia
291,004116546,Mariia,Tkachenko,Ostapivna,2000-04-24,ukrainian,1161,2022-12-10,2026-11-08,4441724685,Kamianets-Podilskyi
292,004521175,Yarina,Holub,Oleksandrivna,2004-08-06,ukrainian,1037,2022-07-30,2025-12-18,4536899526,Brovary
293,003150563,Svitlana,Marchenko,Vadymivna,2004-01-03,ukrainian,1755,2022-04-03,2026-04-10,4118508181,Lviv
294,006129879,Iryna,Sydorenko,Vadymivna,2000-01-15,ukrainian,184,2022-11-15,2027-01-23,4143423832,Vinnytsia
295,003999449,Liudmyla,Holub,Oksanivna,1999-08-08,ukrainian,49,2023-06-11,2025-07-29,3906601929,Brovary
296,006076608,Dmytro,Rudenko,Andriyovych,2000-04-12,ukrainian,898,2022-06-04,2027-01-17,4772644473,Dnipro
297,003473525,Kateryna,Shevchenko,Artemivna,2004-12-08,ukrainian,814,2022-02-15,2025-01-30,4592629662,Luhansk
298,004715859,Tetiana,Tkachenko,Olehivna,2004-09-02,ukrainian,478,2021-09-18,2025-10-11,3753704879,Yalta
299,006446230,Inna,Yermak,Dmytrivna,2004-09-03,ukrainian,1017,2023-03-25,2025-08-23,4958825241,Sevastopol
300,003664051,Anastasiia,Kravchenko,Vadymovych,2007-07-05,american,1505,2021-05-27,2027-04-02,3622581640,Luhansk
301,003159821,Yulia,Kucherenko,Vadymivna,2002-03-28,ukrainian,881,2022-03-04,2026-05-09,4392679457,Kharkiv
302,004742164,Yelyzaveta,Andriychuk,Artemivna,2006-10-22,ukrainian,827,2021-02-02,2025-10-20,4842059473,Dnipro
303,003150425,Liudmyla,Marchenko,Pavlivna,1999-01-04,ukrainian,1076,2023-12-02,2025-12-07,4804018838,Rivne
304,004823269,Yevhen,Pavlenko,Tarasovych,2005-05-09,ukrainian,1892,2023-11-24,2027-12-09,3437514166,Kramatorsk
305,005306503,Oksana,Moroz,Pavlivna,2007-07-19,ukrainian,426,2023-09-16,2026-11-29,4049224148,Uman
306,005556436,Ludmyla,Pavlenko,Ivanivna,2000-11-19,ukrainian,1418,2023-07-23,2027-11-29,4993669265,Brovary
307,006692982,Ludmyla,Lysenko,Ostapivna,2002-04-30,ukrainian,1651,2022-06-25,2025-11-28,4346958452,Berdyansk
308,005325387,Anastasiia,Polishchuk,Vadymivna,2004-11-29,ukrainian,854,2022-02-09,2025-06-09,3994113127,Stryi
309,005022390,Maksym,Yermak,Oleksiyovych,2002-12-29,ukrainian,788,2021-06-14,2025-05-21,3101550924,Luhansk
310,004985308,Tania,Yermolenko,Pavlivna,2004-03-01,ukrainian,1669,2022-12-23,2026-01-31,4106510792,Mykolaiv
311,005195789,Yevhen,Yermak,Ostapovych,2003-03-27,ukrainian,1481,2023-02-12,2026-11-17,4314006552,Uman
312,006648593,Kyrylo,Oliinyk,Bohdanovych,2003-09-26,ukrainian,64,2023-12-17,2026-08-16,3397011073,Kuznetsovsk
313,006943933,Tania,Ovcharenko,Volodymyrivna,2005-10-02,ukrainian,181,2023-01-01,2026-04-08,3036426014,Berdyansk
314,004533854,Halyna,Romanenko,Mykolaivna,2007-12-22,ukrainian,214,2021-07-08,2027-05-21,4241684373,Ivano-Frankivsk
315,005236591,Larysa,Kozak,Serhiyivna,2007-07-07,ukrainian,892,2021-01-12,2027-05-19,4622124120,Simferopol
316,005605697,Liudmyla,Mazur,Serhiyivna,2002-11-24,ukrainian,433,2021-05-10,2027-01-31,4205906616,Kyiv
317,005476350,Mariia,Oliinyk,Oleksandrivna,2004-01-19,ukrainian,1049,2023-09-01,2027-08-03,4923772890,Khmelnytskyi
318,003744799,Khrystyna,Boiko,Volodymyrivna,2000-05-08,ukrainian,697,2023-07-03,2025-03-06,3876772522,Mariupol
319,006942972,Liliia,Kozak,Mykolaivna,2005-11-09,ukrainian,1587,2023-08-02,2027-10-29,3981457896,Khmelnytskyi
320,003494426,Andriana,Oliinyk,Volodymyrivna,2003-09-25,ukrainian,219,2022-12-05,2027-03-28,4236336332,Kamianets-Podilskyi
321,006240128,Andrii,Yermolenko,Vadymovych,2002-04-01,ukrainian,1354,2021-10-03,2027-05-29,4600758742,Cherkasy
322,003174149,Serhii,Kravchenko,Artemovych,1998-03-24,ukrainian,1656,2023-12-17,2025-09-29,3075332962,Kuznetsovsk
323,003838768,Tania,Klymenko,Ivanivna,2004-10-06,ukrainian,1436,2021-05-12,2027-12-19,3300904383,Makiivka
324,005739360,Fedir,Marchenko,Mykhailovych,2006-09-30,ukrainian,158,2023-03-14,2027-03-11,3634379235,Stryi
325,005895051,Yulia,Mazur,Bohdanivna,2000-06-15,ukrainian,1135,2022-11-02,2025-09-06,3070522147,Kuznetsovsk
326,006001863,Vira,Kozak,Ostapivna,2003-03-12,ukrainian,1863,2021-07-30,2027-07-09,3592941865,Yalta
327,005896170,Maksym,Romanenko,Yaroslavovych,2000-01-27,ukrainian,853,2023-03-24,2025-12-28,4997687944,Vinnytsia
328,003030022,Inna,Polishchuk,Volodymyrivna,1999-01-02,ukrainian,85,2021-10-22,2025-11-15,3205983795,Chernivtsi
329,006114496,Ivan,Yakovenko,Bohdanovych,1999-03-22,ukrainian,946,2023-11-19,2027-04-18,3435092533,Zhytomyr
330,005777441,Inna,Sydorenko,Denysivna,2003-02-24,ukrainian,664,2023-02-15,2027-01-01,3632865706,Kryvyi Rih
331,003006975,Nina,Pavlenko,Dmytrivna,2004-02-18,ukrainian,166,2023-03-15,2027-01-13,4623876974,Lviv
332,003908712,Vira,Klymenko,Volodymyrivna,2007-11-29,ukrainian,1759,2021-07-06,2027-11-07,3335156038,Lviv
333,006460249,Olena,Ovcharenko,Pavlivna,2001-02-28,ukrainian,246,2023-10-02,2026-03-23,4431108795,Kolomyia
334,004165391,Yevhen,Bondarenko,Serhiyovych,2001-03-23,ukrainian,680,2021-09-07,2026-12-05,3407153176,Vinnytsia
335,006023668,Volodymyr,Rudenko,Vadymovych,1999-10-14,ukrainian,1012,2023-02-16,2026-12-24,3444334599,Sevastopol
336,003970716,Bohdan,Kovalchuk,Serhiyovych,2004-03-21,ukrainian,635,2021-01-08,2026-04-09,4037913165,Mariupol
337,003564674,Iryna,Bozhko,Oksanivna,2006-12-27,ukrainian,1086,2022-09-08,2025-05-15,3129633921,Lisichansk
338,004942117,Oleh,Ovcharenko,Dmytrovych,2007-04-30,ukrainian,1635,2023-03-30,2026-09-23,3160868189,Brovary
339,004508446,Yulia,Shulga,Mykolaivna,2004-08-06,ukrainian,1478,2021-07-11,2027-03-29,4416683950,Luhansk
340,003237384,Halyna,Melnichenko,Dmytrivna,2004-02-22,ukrainian,208,2023-10-19,2027-07-26,3682947263,Alchevsk
341,005725733,Kateryna,Ivanchuk,Ivanivna,2006-04-22,ukrainian,284,2022-11-26,2027-12-10,4398030781,Zaporizhzhia
342,006026202,Olena,Shevchuk,Dmytrivna,1998-05-28,ukrainian,41,2022-01-01,2027-06-12,3037205145,Konotop
343,005843387,Larysa,Boiko,Ivanivna,2002-12-24,ukrainian,136,2021-07-15,2027-03-17,3448835473,Uman
344,003214637,Halyna,Andriychuk,Ivanivna,2001-03-28,ukrainian,1041,2023-05-27,2025-03-13,3152080021,Sumy
345,004711827,Ostap,Tkachenko,Serhiyovych,2000-03-29,ukrainian,633,2022-02-15,2027-02-09,3665233672,Vinnytsia
346,005380138,Oleksandr,Shulga,Denysovych,2000-01-24,ukrainian,1727,2022-01-20,2025-07-26,4419481435,Lutsk
347,006475515,Nina,Shulga,Ostapivna,2006-03-21,ukrainian,1584,2023-12-10,2027-07-20,4122364813,Cherkasy
348,006611626,Olena,Lysenko,Mykolaivna,2003-08-19,ukrainian,1144,2022-07-03,2027-01-09,3233409031,Odesa
349,005713145,Larysa,Pavlenko,Ostapivna,2004-12-19,ukrainian,1810,2021-02-17,2025-10-16,3090986234,Vinnytsia
350,006772725,Yevhen,Babenko,Yuriyovych,1999-01-31,ukrainian,639,2022-02-06,2027-06-12,4376041056,Poltava
351,003339997,Nadia,Yakovenko,Olehivna,2000-06-23,ukrainian,1190,2023-04-18,2027-05-11,4465992283,Lutsk
352,006313966,Yevhen,Vlasenko,Yuriyovych,2002-12-27,ukrainian,1984,2023-12-15,2025-03-30,4894567164,Uzhhorod
353,006809235,Ludmyla,Sydorenko,Oleksandrivna,2000-07-26,ukrainian,459,2023-05-23,2027-04-19,4273166299,Sevastopol
354,004659402,Orest,Pavlenko,Ivanovych,2000-09-26,ukrainian,968,2022-10-19,2026-03-09,3742959392,Kryvyi Rih
355,005653791,Kyrylo,Yermak,Tarasovych,2003-04-08,ukrainian,1299,2023-04-18,2027-10-17,3607523670,Melitopol
356,003017711,Yurii,Tkachuk,Volodymyrovych,2004-11-09,ukrainian,312,2021-11-26,2026-05-31,3244121059,Konotop
357,005219268,Halyna,Kovalenko,Oksanivna,2006-07-18,ukrainian,429,2022-12-05,2027-10-23,3033522224,Kyiv
358,005541939,Ludmyla,Sydorenko,Ivanivna,2006-11-03,ukrainian,1078,2023-02-25,2025-01-22,4988389957,Berdyansk
359,003621518,Tania,Pavlenko,Pavlivna,2002-04-09,ukrainian,977,2022-11-15,2025-06-22,3015443647,Poltava
360,006362136,Kateryna,Shevchuk,Vadymivna,2006-07-30,ukrainian,1517,2022-08-24,2025-05-14,3018027887,Lutsk
361,004311847,Mariia,Shulga,Artemivna,1998-11-09,ukrainian,1640,2023-09-30,2027-10-16,4160905482,Sevastopol
362,006622270,Oleksandr,Shevchuk,Serhiyovych,2007-08-07,ukrainian,1452,2021-09-22,2026-09-09,3440416419,Donetsk
363,006593565,Andrii,Kravchenko,Mykolaiovych,2000-01-20,ukrainian,915,2022-01-06,2027-07-02,4684634194,Kherson
364,004473924,Solomiia,Klymenko,Volodymyrivna,2006-07-23,ukrainian,1630,2023-06-19,2026-01-01,4329648716,Kamenskoe
365,003121461,Hryhoriy,Yermolenko,Mykhailovych,1998-01-22,ukrainian,210,2021-09-14,2027-02-14,4177360480,Kyiv
366,006103210,Zoriana,Mazur,Olehivna,2006-03-20,ukrainian,1748,2022-06-03,2027-12-23,3743963335,Ivano-Frankivsk
367,004020085,Zoriana,Kovalenko,Mykolaivna,2002-02-28,ukrainian,1619,2023-07-13,2027-08-16,3731246097,Alchevsk
368,006818556,Valentyna,Andriychuk,Mykolaivna,2007-10-20,ukrainian,498,2023-08-05,2025-01-23,3638258816,Chernihiv
369,004006867,Oksana,Mazur,Ivanivna,2006-02-23,ukrainian,396,2022-02-12,2027-10-07,3883158221,Kuznetsovsk
370,004705489,Andriana,Klymenko,Dmytrivna,2005-07-04,ukrainian,861,2023-05-05,2025-09-25,4318979817,Chernihiv
371,004818856,Petro,Holub,Volodymyrovych,2007-08-22,ukrainian,1861,2021-01-29,2027-05-14,3433924368,Ivano-Frankivsk
372,006053921,Olha,Tkachuk,Oksanivna,2005-03-20,ukrainian,1239,2022-07-24,2027-03-19,4485135806,Kramatorsk
373,005200370,Anastasiia,Ovcharenko,Ivanivna,2000-01-07,ukrainian,1261,2021-02-17,2025-04-17,4628005221,Konotop
374,004539289,Maksym,Bozhko,Denysovych,2002-04-29,ukrainian,444,2021-02-08,2025-05-06,3062149171,Rivne
375,005604262,Fedir,Yermolenko,Mykolaiovych,2005-05-06,ukrainian,1399,2022-06-14,2026-02-10,3737829438,Khust
376,006571833,Maksym,Boiko,Denysovych,2007-04-15,ukrainian,466,2021-04-07,2027-07-31,3836407073,Myrnohrad
377,004766786,Taras,Kovalenko,Serhiyovych,2004-02-11,ukrainian,1012,2021-11-09,2026-06-03,4827677803,Kramatorsk
378,005581516,Volodymyr,Andriychuk,Bohdanovych,2006-08-16,ukrainian,1555,2023-06-23,2027-09-17,3889238859,Chernivtsi
379,003585264,Vira,Shevchenko,Bohdanivna,2007-04-14,ukrainian,824,2021-08-01,2027-06-05,3943839332,Ternopil
380,003780465,Mariia,Mazur,Pavlivna,2001-02-23,ukrainian,1180,2022-09-02,2025-09-10,4043626100,Vinnytsia
381,006892477,Tetiana,Holub,Ivanivna,1999-03-15,ukrainian,870,2021-02-21,2027-08-14,3864551994,Lviv
382,005536597,Zinovii,Tkachuk,Oleksiyovych,1998-11-19,ukrainian,768,2021-12-31,2025-02-21,3808561237,Dnipro
383,006177055,Solomiia,Kozak,Artemivna,2005-04-20,ukrainian,497,2023-01-20,2026-06-27,3034198843,Kremenchuk
384,005008261,Zinovii,Kucher,Mykolaiovych,2003-12-23,ukrainian,1694,2021-09-06,2025-09-11,4424569421,Ivano-Frankove
385,006899796,Orest,Babenko,Viktorovych,2005-04-20,ukrainian,711,2022-04-19,2027-08-14,4719606113,Alchevsk
386,005677060,Valentyna,Yakovenko,Ostapivna,2000-06-17,ukrainian,499,2023-05-29,2027-05-18,3831499322,Mariupol
387,005025226,Valentyna,Tkachuk,Yaroslavivna,1998-07-15,ukrainian,383,2021-06-15,2027-01-03,4551204441,Donetsk
388,006964207,Nadia,Polishchuk,Vadymivna,2004-06-17,ukrainian,1706,2023-04-24,2027-11-18,4318199002,Poltava
389,005515895,Liudmyla,Kucher,Mykolaivna,2007-11-06,ukrainian,1038,2021-10-11,2025-08-01,4429401308,Poltava
390,003110857,Dmytro,Bondarenko,Volodymyrovych,2002-06-11,ukrainian,990,2023-04-21,2026-12-27,4667881631,Ternopil
391,003710434,Inna,Yakovenko,Bohdanivna,2004-12-24,ukrainian,607,2022-08-06,2026-12-05,4438053225,Yalta
392,005800877,Oleh,Yermolenko,Pavlovych,2001-06-12,ukrainian,1218,2023-09-07,2026-07-17,3106367607,Sevastopol
393,004496028,Iryna,Sydorenko,Pavlivna,2004-10-19,ukrainian,1352,2021-08-28,2025-09-09,3546924149,Luhansk
394,004486276,Viktor,Bozhko,Olehovych,2000-12-06,ukrainian,386,2023-11-14,2027-10-03,4556852230,Ivano-Frankivsk
395,004414000,Mykhailo,Romanenko,Yaroslavovych,2001-04-24,ukrainian,499,2022-08-31,2025-02-17,3270623015,Sumy
396,003662531,Zinovii,Kovalenko,Serhiyovych,1998-11-14,ukrainian,1499,2022-04-23,2026-08-08,3922346538,Khmelnytskyi
397,003566068,Halyna,Ovcharenko,Pavlivna,2004-03-12,ukrainian,1823,2023-12-18,2025-06-28,4962397352,Odesa
398,005332142,Liliia,Sydorenko,Dmytrivna,2006-07-23,ukrainian,1960,2022-04-15,2027-06-23,4681046671,Luhansk
399,005494007,Mykola,Shevchuk,Yaroslavivna,2000-11-26,ukrainian,238,2023-11-25,2026-09-30,3290471592,Stryi
400,006009487,Yarina,Yakovenko,Serhiyovych,2007-10-24,italian,47,2022-07-03,2025-09-14,4213879986,Donetsk
401,004000490,Svitlana,Melnichenko,Oleksandrivna,2001-07-04,ukrainian,835,2021-02-20,2025-03-19,4944658369,Zaporizhzhia
402,003719611,Anna,Yakovenko,Oksanivna,2002-10-16,ukrainian,212,2022-09-07,2025-10-31,3380085130,Stryi
403,005990566,Svitlana,Oliinyk,Ivanivna,2003-06-08,ukrainian,1986,2022-05-22,2026-12-15,4831845633,Cherkasy
404,004781893,Kateryna,Shevchenko,Yaroslavivna,2001-11-09,ukrainian,1611,2021-08-27,2026-09-04,4492641546,Kuznetsovsk
405,006350157,Zinovii,Polishchuk,Olehovych,2004-12-18,ukrainian,1468,2021-09-13,2027-06-19,3868687337,Mykolaiv
406,006895036,Zoriana,Shulga,Volodymyrivna,2005-08-07,ukrainian,548,2023-08-14,2025-04-12,3316168497,Ivano-Frankove
407,006722152,Mykola,Marchenko,Volodymyrivna,2007-05-30,ukrainian,1912,2023-01-21,2026-08-10,3157755823,Alchevsk
408,006038893,Tetiana,Lysenko,Denysivna,2000-01-10,ukrainian,810,2022-03-08,2027-05-10,4303866571,Kryvyi Rih
409,006676378,Serhii,Tkachenko,Bohdanovych,2007-05-23,ukrainian,256,2023-09-19,2026-03-27,3428258388,Lviv
410,004081129,Natalia,Tkachuk,Olehivna,2006-08-20,ukrainian,1193,2021-07-13,2025-05-18,4294470740,Kyiv
411,003540917,Mykola,Shevchenko,Yaroslavivna,2001-02-19,ukrainian,1216,2021-02-07,2025-11-13,4284901740,Simferopol
412,005017197,Kyrylo,Moroz,Ostapovych,2004-08-19,ukrainian,517,2021-03-16,2025-07-15,3134705828,Kamenskoe
413,004093404,Nadia,Moroz,Ostapivna,2006-07-02,ukrainian,656,2022-12-23,2026-11-28,3913951418,Kamianets-Podilskyi
414,004732618,Maksym,Vlasenko,Oleksiyovych,2007-05-24,ukrainian,1574,2023-04-10,2026-06-23,4057647088,Kharkiv
